name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-2	2.0	0.67	12.0	3	95.0	654	0.0	8.9027	322.0	654.00
poi-30-2	2.0	0.67	12.0	3	190.0	1209	0.0	12.0432	15.0	1209.00
poi-30-2	2.0	0.67	25.0	1	95.0	805	0.0	42.9946	587.0	805.00
poi-30-2	2.0	0.67	25.0	1	190.0	1281	0.0	28.9239	535.0	1281.00
poi-30-2	2.0	0.67	25.0	2	95.0	890	0.0	63.8241	1000.0	890.00
poi-30-2	2.0	0.67	25.0	2	190.0	1281	0.0	71.9027	892.0	1281.00
poi-30-2	2.0	0.67	25.0	3	95.0	902	0.0	108.0133	1082.0	902.00
poi-30-2	2.0	0.67	25.0	3	190.0	1281	0.0	77.0405	1474.0	1281.00
poi-30-2	2.0	1.0	12.0	1	95.0	680	0.0	5.6324	287.0	680.00
poi-30-2	2.0	1.0	12.0	1	190.0	1268	0.0	8.9769	106.0	1268.00
poi-30-2	2.0	1.0	12.0	2	95.0	680	0.0	15.4571	407.0	680.00
poi-30-2	2.0	1.0	12.0	2	190.0	1268	0.0	4.7536	182.0	1268.00
poi-30-2	2.0	1.0	12.0	3	95.0	680	0.0	26.4256	357.0	680.00
poi-30-2	1.0	1.0	25.0	1	190.0	0	0.06415094339583413	3615.0715	31275.0	1410.00
poi-30-2	2.0	1.0	12.0	3	190.0	1268	0.0	18.7805	321.0	1268.00
poi-30-2	2.0	1.0	25.0	1	95.0	935	0.0	54.4261	900.0	935.00
poi-30-2	2.0	1.0	25.0	1	190.0	1410	0.0	72.7277	1146.0	1410.00
poi-30-2	2.0	1.0	25.0	2	95.0	1067	0.0	77.0337	907.0	1067.00
poi-30-2	1.0	1.0	25.0	2	190.0	0	0.016582552270630165	3617.8789	30270.0	1410.00
poi-30-2	2.0	1.0	25.0	3	95.0	1067	0.0	86.7940	825.0	1067.00
poi-30-2	2.0	1.33	12.0	1	95.0	785	0.0	13.2015	283.0	785.00
poi-30-2	2.0	1.33	12.0	1	190.0	1366	0.0	7.4773	1.0	1366.00
poi-30-2	2.0	1.0	25.0	3	190.0	1410	0.0	27.8139	1.0	1410.00
poi-30-2	2.0	1.33	12.0	2	95.0	785	0.0	11.1412	132.0	785.00
poi-30-2	2.0	1.33	12.0	2	190.0	1366	0.0	22.1031	139.0	1366.00
poi-30-2	1.0	1.0	25.0	3	95.0	0	0.003571428571428436	3623.0049	63025.0	843.00
poi-30-2	2.0	1.33	12.0	3	95.0	785	0.0	18.3670	260.0	785.00
poi-30-2	2.0	1.33	12.0	3	190.0	1366	0.0	10.4288	396.0	1366.00
poi-30-2	2.0	1.33	25.0	1	95.0	1088	0.0	24.8311	745.0	1088.00
poi-30-2	2.0	1.33	25.0	2	95.0	1305	0.0	100.0543	657.0	1305.00
poi-30-2	2.0	1.33	25.0	1	190.0	1721	0.0	111.1936	3599.0	1721.00
poi-30-2	2.0	1.33	25.0	2	190.0	1787	0.0	96.6560	1051.0	1787.00
poi-30-3	1.0	0.67	12.0	1	86.0	452	0.0	6.8915	240.0	452.00
poi-30-3	1.0	0.67	12.0	1	172.0	1146	0.0	28.9807	295.0	1146.00
poi-30-2	2.0	1.33	25.0	3	190.0	1789	0.0	44.6419	366.0	1789.00
poi-30-3	1.0	0.67	12.0	2	86.0	460	0.0	19.6568	170.0	460.00
poi-30-3	1.0	0.67	12.0	2	172.0	1152	0.0	24.1098	1250.0	1152.00
poi-30-3	1.0	0.67	12.0	3	172.0	1156	0.0	18.9770	104.0	1156.00
poi-30-3	1.0	0.67	12.0	3	86.0	466	0.0	29.7682	306.0	466.00
poi-30-2	2.0	1.0	25.0	2	190.0	1410	0.0	423.5811	3652.0	1410.00
poi-30-2	2.0	1.33	25.0	3	95.0	1324	0.0	183.8465	2395.0	1324.00
poi-30-2	1.0	1.33	25.0	3	95.0	1030	0.0	2076.5569	28480.0	1030.00
poi-30-3	1.0	0.67	24.0	1	86.0	531	0.0	117.2849	3278.0	531.00
poi-30-2	1.0	1.33	25.0	1	190.0	0	0.07232084155161078	3640.8815	66240.0	1631.00
poi-30-3	1.0	1.0	12.0	1	86.0	487	0.0	33.1842	1082.0	487.00
poi-30-3	1.0	1.0	12.0	1	172.0	1198	0.0	36.7776	1430.0	1198.00
poi-30-3	1.0	1.0	12.0	2	86.0	487	0.0	45.8226	2361.0	487.00
poi-30-3	1.0	1.0	12.0	2	172.0	1215	0.0	39.8304	2258.0	1215.00
poi-30-3	1.0	1.0	12.0	3	86.0	487	0.0	14.9082	772.0	487.00
poi-30-3	1.0	0.67	24.0	2	86.0	540	0.0	782.8309	13895.0	540.00
poi-30-3	1.0	1.0	12.0	3	172.0	1221	0.0	56.6395	3584.0	1221.00
poi-30-2	1.0	1.33	25.0	2	190.0	0	0.013753581661891117	3634.9404	44249.0	1769.00
poi-30-3	1.0	0.67	24.0	1	172.0	1277	0.0	914.1259	22534.0	1277.00
poi-30-3	1.0	1.0	24.0	1	86.0	613	0.0	147.9552	4183.0	613.00
poi-30-2	1.0	1.33	25.0	3	190.0	0	0.011898016996973002	3602.8036	43933.0	1786.00
poi-30-3	1.0	1.0	24.0	2	86.0	627	0.0	1488.6224	29730.0	627.00
poi-30-3	1.0	1.33	12.0	1	86.0	519	0.0	74.6094	4132.0	519.00
poi-30-3	1.0	1.33	12.0	1	172.0	1309	0.0	56.1830	3130.0	1309.00
poi-30-3	1.0	1.33	12.0	2	86.0	521	0.0	17.2941	703.0	521.00
