name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-10-2	1.0	1.33	13.0	3	58.0	76	0.0	0.0031	0.0	76.00
poi-10-2	1.0	1.33	13.0	3	116.0	313	0.0	0.1033	12.0	313.00
poi-10-2	1.0	1.33	27.0	1	58.0	76	0.0	0.0041	0.0	76.00
poi-10-2	1.0	1.33	27.0	1	116.0	343	0.0	0.1924	65.0	343.00
poi-10-2	1.0	1.33	27.0	2	58.0	76	0.0	0.0031	0.0	76.00
poi-10-2	1.0	1.33	27.0	2	116.0	345	0.0	0.1418	43.0	345.00
poi-10-2	1.0	1.33	27.0	3	58.0	76	0.0	0.0040	0.0	76.00
poi-10-2	1.0	1.33	27.0	3	116.0	354	0.0	0.2138	113.0	354.00
poi-10-2	2.0	0.67	13.0	1	58.0	76	0.0	0.0018	0.0	76.00
poi-10-2	2.0	0.67	13.0	1	116.0	296	0.0	0.0394	1.0	296.00
poi-10-2	2.0	0.67	13.0	2	58.0	76	0.0	0.0018	0.0	76.00
poi-10-2	2.0	0.67	13.0	2	116.0	296	0.0	0.0328	1.0	296.00
poi-10-2	2.0	0.67	13.0	3	58.0	76	0.0	0.0030	0.0	76.00
poi-10-2	2.0	0.67	13.0	3	116.0	296	0.0	0.0228	1.0	296.00
poi-10-2	2.0	0.67	27.0	1	58.0	76	0.0	0.0021	0.0	76.00
poi-10-2	2.0	0.67	27.0	1	116.0	296	0.0	0.1319	1.0	296.00
poi-10-2	2.0	0.67	27.0	2	58.0	76	0.0	0.0060	0.0	76.00
poi-10-2	2.0	0.67	27.0	2	116.0	296	0.0	0.5114	39.0	296.00
poi-10-2	2.0	0.67	27.0	3	58.0	76	0.0	0.0063	0.0	76.00
poi-10-2	2.0	0.67	27.0	3	116.0	296	0.0	0.1267	12.0	296.00
poi-10-2	2.0	1.0	13.0	1	58.0	76	0.0	0.0017	0.0	76.00
poi-10-2	2.0	1.0	13.0	1	116.0	296	0.0	0.0680	1.0	296.00
poi-10-2	2.0	1.0	13.0	2	58.0	76	0.0	0.0029	0.0	76.00
poi-10-2	2.0	1.0	13.0	2	116.0	296	0.0	0.0847	1.0	296.00
poi-10-2	2.0	1.0	13.0	3	58.0	76	0.0	0.0030	0.0	76.00
poi-10-2	2.0	1.0	13.0	3	116.0	296	0.0	0.0774	1.0	296.00
poi-10-2	2.0	1.0	27.0	1	58.0	76	0.0	0.0037	0.0	76.00
poi-10-2	2.0	1.0	27.0	1	116.0	296	0.0	0.1770	49.0	296.00
poi-10-2	2.0	1.0	27.0	2	58.0	76	0.0	0.0046	0.0	76.00
poi-10-2	2.0	1.0	27.0	2	116.0	296	0.0	0.1924	31.0	296.00
poi-10-2	2.0	1.0	27.0	3	58.0	76	0.0	0.0061	0.0	76.00
poi-10-2	2.0	1.0	27.0	3	116.0	296	0.0	0.1985	27.0	296.00
poi-10-2	2.0	1.33	13.0	1	58.0	76	0.0	0.0026	0.0	76.00
