name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-40-3,1,0.67,13,1,195,1485,0,614.996,1454,1485,20.803,388,1532,0.183563,1139,0.546015,75,1758,1206,260,214,0,0,65,13,195,24,4/300,1,0.313248,1597
poi-40-3,1,0.67,13,2,97,684,0,479.157,1433,684,140.246,390,831,0.101517,833,0.178177,36,647,501,129,4,0,0,6,7,97,10,2/300,4,0.670624,944
poi-40-3,1,0.67,13,2,195,1485,0,937.938,2476,1485,0.885868,221,1581,0.450941,1628,0.617571,78,3542,3061,280,113,0,0,75,13,195,24,4/300,0,150.475,1597
poi-40-3,1,0.67,13,3,97,684,0,53.591,1024,684,22.661,136,862,0.103338,568,0.155943,33,815,657,151,1,0,0,3,3,97,10,2/300,4,106.642,944
poi-40-3,1,0.67,13,3,195,1485,0,192.483,3074,1485,117.303,221,1549,0.467615,2368,0.760231,91,2580,2097,294,80,0,0,85,24,195,24,4/300,0,190.021,1597
poi-40-3,1,0.67,27,1,97,782,0,141.241,15736,782,476.977,303,974,0.803658,9386,158.657,180,2561,1192,201,815,41,0,229,83,97,11,3/4086,1,346.041,1107
poi-40-3,1,0.67,27,1,195,1463,0.14149,3601.03,32629,1670,925.213,1501,1701,400.648,28883,13.659,361,-,-,-,-,-,-,-,-,-,-,-,-,202.552,1751
poi-40-3,1,0.67,27,2,97,814,0.140049,3600.28,107106,928,34.238,597,1108,694.795,76621,471.449,376,-,-,-,-,-,-,-,-,-,-,-,-,140.638,1259
poi-40-3,1,0.67,27,2,195,1427,0.192712,3600.27,23164,1702,747.187,339,1706,268.149,20866,917.268,209,-,-,-,-,-,-,-,-,-,-,-,-,490.878,1751
poi-40-3,1,0.67,27,3,97,842,0.244656,3600.25,85405,1048,449.545,869,1191,653.733,64230,333.418,262,-,-,-,-,-,-,-,-,-,-,-,-,264.736,1317
poi-40-3,1,0.67,27,3,195,1631,0.0398529,3600.29,94380,1696,883.451,1635,1706,91.801,74645,503.198,192,-,-,-,-,-,-,-,-,-,-,-,-,444.331,1751
poi-40-3,1,1,13,1,97,723,0,504.867,697,723,334.864,482,874,0.059251,402,0.112725,34,580,421,145,9,0,0,3,2,97,9,2/300,0,112.578,953
poi-40-3,1,1,13,1,195,1532,0,189.46,26644,1532,124.915,393,1666,195.661,15085,0.638872,79,6751,5832,295,528,0,0,83,13,195,19,6/300,0,309.545,1655
poi-40-3,1,1,13,2,97,723,0,70.125,2400,723,16.016,400,936,0.144733,1324,0.20864,36,906,762,92,31,0,0,13,8,97,9,2/300,0,179.835,953
poi-40-3,1,1,13,2,195,1596,0,440.496,5527,1596,212.075,527,1701,0.552231,3814,0.765678,79,3362,2593,175,468,0,0,114,12,195,19,10/300,1,104.734,1655
poi-40-3,1,1,13,3,97,723,0,248.213,3650,723,249.284,221,983,0.301396,2543,0.476321,65,1741,1533,117,52,0,0,23,16,97,9,2/300,0,293.501,953
poi-40-3,1,1,13,3,195,1596,0,891.386,13345,1596,253.902,1080,1718,111.379,9227,0.780549,84,2810,2116,194,364,0,0,120,16,195,18,11/300,0,180.146,1655
poi-40-3,1,1,27,1,97,861,0,432.256,59300,861,996.922,659,1087,278.823,33438,225.283,240,3981,2083,188,1217,51,0,336,106,97,11,4/4086,4,257.906,1245
poi-40-3,1,1,27,1,195,1596,0.159148,3601.18,30444,1850,330.286,1675,1871,343.923,26959,134.521,382,-,-,-,-,-,-,-,-,-,-,-,-,954.708,1899
poi-40-3,1,1,27,2,97,899,0.322581,3600.23,64124,1189,566.677,801,1330,508.006,50414,47.673,429,-,-,-,-,-,-,-,-,-,-,-,-,285.641,1476
poi-40-3,1,1,27,2,195,136,129.632,3601.18,24272,1899,437.833,136,1899,370.524,21486,558.218,130,-,-,-,-,-,-,-,-,-,-,-,-,332.325,1899
poi-40-3,1,1,27,3,97,940,0.418085,3600.42,32938,1333,103.94,763,1486,361.762,27327,339.165,278,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poi-40-3,1,1,27,3,195,360,4.275,3600.31,15970,1899,79.693,360,1899,371.302,12814,169.208,62,-,-,-,-,-,-,-,-,-,-,-,-,10.681,1899
poi-40-3,1,1.34,13,1,97,796,0,745.805,1818,796,23.669,497,1028,0.121232,1022,0.298058,53,834,629,118,65,0,0,18,4,97,9,4/300,1,226.527,1012
poi-40-3,1,1.34,13,1,195,1725,0,458.841,56397,1725,203.351,347,1928,357.447,31803,0.838421,102,5273,4250,241,683,0,0,85,14,195,16,11/300,1,417.683,1870
poi-40-3,1,1.34,13,2,97,817,0,104.112,2383,817,282.881,315,1065,0.17228,1385,0.342463,55,1182,1002,94,58,0,0,17,11,97,8,5/300,0,295.381,1012
poi-40-3,1,1.34,13,2,195,1797,0,144.065,20264,1797,259.765,567,1978,12.474,11657,111.843,117,3337,2194,173,786,0,0,171,13,195,15,11/300,5,479.282,1906
poi-40-3,1,1.34,13,3,97,817,0,115.046,4145,817,254.975,359,1076,0.258527,2503,0.464995,61,2096,1915,76,55,0,0,31,19,97,8,5/300,0,515.476,1012
poi-40-3,1,1.34,13,3,195,1827,0,129.971,17221,1827,279.074,89,1990,152.298,11382,102.518,95,5291,4492,153,485,0,0,145,16,195,15,13/300,5,12.854,1913
poi-40-3,1,1.34,27,1,97,982,0,457.069,49262,982,27.375,798,1234,241.856,27426,174.965,206,4712,3067,336,940,33,0,245,91,97,10,6/4086,0,302.781,1382
poi-40-3,1,1.34,27,1,195,1804,0.18071,3600.33,57152,2130,313.625,178,2190,770.096,50964,363.405,174,-,-,-,-,-,-,-,-,-,-,-,-,318.107,2176
poi-40-3,1,1.34,27,2,97,1063,0.341486,3600.2,64662,1426,805.044,828,1594,486.492,50843,367.156,338,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poi-40-3,1,1.34,27,2,195,2032,0.168799,3600.2,15808,2375,518.517,2090,2394,247.593,14274,170.735,143,-,-,-,-,-,-,-,-,-,-,-,-,620.476,2366
poi-40-3,1,1.34,27,3,97,1143,0.434821,3600.35,23633,1640,188.826,1205,1841,322.856,19713,276.157,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poi-40-3,1,1.34,27,3,195,2091,0.163558,3600.25,7292,2433,280.477,1936,2440,0.852102,6658,0.885256,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poi-40-3,2,0.67,13,1,97,722,0,260.225,338,722,0.793566,290,826,0.053876,221,0.085848,23,721,596,118,5,0,0,1,1,97,9,5/300,2,0.177221,964
poi-40-3,2,0.67,13,1,195,1499,0,198.472,474,1499,0.440061,221,1550,0.064222,263,0.10168,22,827,579,214,27,0,0,6,1,195,26,2/300,3,0.663359,1603
poi-40-3,2,0.67,13,2,97,722,0,271.392,631,722,10.789,270,858,0.064223,354,0.107858,27,613,488,118,4,0,0,2,1,97,9,5/300,2,0.408535,964
poi-40-3,2,0.67,13,2,195,1513,0,197.029,234,1513,0.782162,221,1556,0.065142,146,0.13319,24,719,487,209,15,0,0,6,2,195,21,7/300,3,0.880757,1603
poi-40-3,2,0.67,13,3,97,722,0,363.736,693,722,184.696,221,845,0.072106,393,0.10913,32,693,510,183,0,0,0,0,0,97,9,5/300,2,0.492698,964
