InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-100-4	1	1	27	2	138	2711	32.0144776	928	4.7710065	114054958	256918416
r-100-4	1	1	27	2	277	4701	166.6168642	1697	41.3246173	275662094	1311097968
r-100-4	1	1	27	3	138	2922	41.1375113	766	5.2721045	81299557	397048846
r-100-4	1	1	27	3	277	4882	726.3722744	15878	551.5930072	618221678	2072008613
r-100-5	1	1	12	1	132	2509	17.2798517	2040	5.2032722	238433898	15979434
r-100-5	1	1	12	1	264	4397	105.8650954	6759	60.7647243	867437169	93245945
r-100-5	1	1	12	2	132	2701	25.6360132	4411	12.3659568	256192407	60995987
r-100-5	1	1	12	2	264	4734	99.3323036	5996	53.6761198	652197660	234301962
r-100-5	1	1	12	3	132	2815	35.6939414	7738	21.8664982	290015904	125477365
r-100-5	1	1	12	3	264	4795	137.5543543	9384	89.41842	735173705	498455285
r-100-5	1	1	24	1	132	2651	54.3036017	8625	34.450336	405540424	241632296
r-100-5	1	1	24	1	264	4575	399.1693862	19302	315.7747762	1510158037	1542102197
r-100-5	1	1	24	2	132	2874	108.0112595	11414	75.346234	323048330	896466928
r-100-5	1	1	24	2	264	4932	431.7222843	11449	299.3081062	674298642	-827109905
r-100-5	1	1	24	3	132	3010	55.1305495	1380	11.7332479	91467419	541099812
r-100-5	1	1	24	3	264	5092	523.6827024	8010	316.0881513	383665575	-107920193
r-125-1	1	1	11	1	151	3471	38.9937846	733	5.5158731	388047265	33466084
r-125-1	1	1	11	1	303	5563	179.1179964	2452	61.3191673	1021532977	138736140
r-125-1	1	1	11	2	151	3820	62.4548135	3299	25.3450522	446679998	143339408
r-125-1	1	1	11	2	303	5683	130.6998368	394	9.2490405	549218601	288212820
r-125-1	1	1	11	3	151	3995	85.1769086	5893	46.4343877	505580688	292468606
r-125-1	1	1	11	3	303	5770	255.0142739	5380	133.106693	976185821	876714917
r-125-1	1	1	23	1	151	3568	93.3088906	3070	36.0090307	496516302	395224469
r-125-1	1	1	23	1	303	5651	401.6309425	2801	144.9439843	935176357	1298163211
