InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-150-5	1	1	12	2	348	6883	53.1324842	1045	10.4173049	926226708	11842072
r-150-5	1	1	12	3	174	4543	21.9045555	3366	9.3789746	469346968	12777426
r-150-5	1	1	12	3	348	6953	66.1600635	2899	25.7606863	1088186108	27151952
r-150-5	1	1	25	1	174	3785	13.2736777	547	1.4615337	360985128	8223776
r-150-5	1	1	25	1	348	6429	46.6851846	319	3.1347818	875295365	18116775
r-150-5	1	1	25	2	174	4041	14.513495	638	1.8526275	289601323	23192898
r-150-5	1	1	25	2	348	6716	42.4358707	0	0	630587683	45327891
r-150-5	1	1	25	3	174	4600	17.0237187	986	3.274414	249344584	44045178
r-150-5	1	1	25	3	348	6988	44.7053598	0	0	502793641	79359368
AverageObj: 3893.46, IterToBest: 2406.35, TimeToBest: 6.05
